Model,Accuracy,Precision,Recall,F1
Decision Tree,0.710754382509356,0.7261200338123415,0.6767776245814457,0.7005810989907229
Random Forest,0.7939728185936576,0.7698427047550171,0.8386842623596612,0.802790346907994
AdaBoost,0.562241481189679,0.5648604269293924,0.5420523931455584,0.5532214292893758
KNN,0.7388221390584991,0.7629581435697246,0.6929288950167422,0.7262592898431048
XGBoost,0.768367145952334,0.7609653323118176,0.7825487492613749,0.7716061371140027
HARD VOTE,0.7788063817214891,0.7703915950334288,0.7943667520189088,0.7821955003878976
SOFT VOTE,0.7734882804805988,0.7688286544046466,0.7821548158361237,0.7754344854520602
