,tempo,loudness,key,mode,energy
Random Forest,0.08624418932904063,0.07399303015561193,0.0506489128202976,0.01787285435419117,0.07022951706623427
Decision Tree,0.07539836975249135,0.05420944689132082,0.009390678083767378,0.00739950253784683,0.05102919958610209
AdaBoost,0.03981342980902839,0.031042042932144985,0.012658418043900747,0.0,0.020641263195406413
XGBoost,0.06520182434956541,0.07087694249990081,0.029809827433259533,0.010467446242012079,0.05954709468974727
KNN,0.07644977777777781,0.07420355555555556,0.06794266666666665,0.039684888888888895,0.07104711111111112
