Model,Accuracy,Precision,Recall,F1
Random Forest,0.7894425842032696,0.7690899102728438,0.8272601930273784,0.7971152021256406
XGBoost,0.6876107937758519,0.6803635675061541,0.7077013984636596,0.6937632747634679
KNN,0.6883986606263541,0.6979102007034967,0.6643687216860351,0.6807265388496468
Decision Tree,0.622611778609415,0.618594017908173,0.6395509158952137,0.6288979275614952
AdaBoost,0.5587945637187315,0.5561829474872954,0.5820366358085484,0.5688161693936478
